Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Vehicles other than railway or tramway rolling stock  and parts and accessories thereof,1395588432,1321688375,1345402412,1446401653,1534742031,1504659114,1282732639,1513241958,1622949486,1873167095
Aircraft  spacecraft  and parts thereof,324756700,330212640,335579202,330405531,337899562,337743661,220901701,230434067,253879418,297962823
Ships  boats and floating structures,146534746,150438968,137842778,135936388,132024093,123394072,109479707,125988041,124325566,130880848
Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical ...,573858460,540281282,535507638,580235068,615214636,612769823,591524212,681935667,651538734,675958496
Clocks and watches and parts thereof,57114016,55118504,50105794,50260988,52589750,52851097,42224611,55279644,56671819,59813585
"Musical instruments; parts and accessories of such articles,6502675,6175415,6079403,6267602,6775161,7047361,6767494,8379303,8414251,8062293"
"Arms and ammunition; parts and accessories thereof,13683486,14696748,13616180,15212174,14085995,16897853,15441764,18541805,21663571,24811521"
"Furniture; bedding  mattresses  mattress supports  cushions and similar stuffed furnishings; ...,242514769,237971320,233240909,240941029,257923023,261075789,263848928,324868655,311142868,298288547"
"Toys  games and sports requisites; parts and accessories thereof,91737071,92694940,94638936,112825400,119132525,122061479,131286731,174644186,173132363,159640369"
Miscellaneous manufactured articles,50062280,48216170,48979417,51394166,53405801,53569808,51786973,60345878,64797866,64938918
Works of art  collectors' pieces and antiques,27662311,29090923,28132857,27576667,32785781,37381479,22975215,27963554,33948216,35043489
Commodities not elsewhere specified,418731723,425402268,425626976,397075148,410512760,589011786,308973199,425599766,393425890,413918077
